"Recalls, Market Withdrawals, & Safety Alerts | FDA",,,,,
Date,Brand Name(s),Product Description,Product Type,Recall Reason Description,Company Name
06/26/2019,Aqueon,Aqueon Betta Food,"Animal & Veterinary, Food & Beverages,",Potential Salmonella contamination,Central Aquatics
09/26/2019,TDBBS,Pig ear pet treat,"Animal & Veterinary, Food & Beverages, Animal Feed",Possible Salmonella contamination,TDBBS LLC
10/03/2018,"Pet Alive, Native Remedies, Healthful Naturals",Homeopathic Drug Products (liquid),"Animal & Veterinary, Food & Beverages, Contaminants, Pet Food",Microbial Contamination,"Pet Alive, Native Remedies, Healthful Naturals"
04/08/2020,Milo’s Kitchen,Dog treats,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety",Elevated Levels of Thyroid Hormone,J.M. Smucker Company
03/23/2020,Mintrate,Cattle Feed,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety",May contain elevated levels of non-protein nitrogen,ADM Animal Nutrition
03/19/2020,"Steve's Real Food, Quest",Pet food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety",Due to Possible Salmonella and L. Mono Contamination,Steve's Real Food
04/17/2018,Vital Essentials®,Dog/pet food Freeze-Dried Beef Toppers and Frozen Beef Chub,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety",Salmonella,Carnivore Meat Company
02/08/2018,"9LivesTM, EverPetTM, and Special KittyTM",Canned cat food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety",Due to Low Levels of Thiamine (Vitamin B1),J.M. Smucker Company
01/17/2017,Blue Ridge Beef,Raw Dog and Cat food,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety",potential to be contaminated with Listeria monocytogenes,Blue Ridge Beef
04/08/2020,Rad Cat,Free-Range Chicken and Turkey Recipes (Raw Diet) for Cats,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Listeria monocytogenes,"Radagast Pet Food, Inc."
04/07/2020,Natural Selections and ZooLogics,Fresh raw meals for dogs,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Due To Contamination Salmonella And Shiga Toxin-Producing Escherichia Coli O128,Darwin’s Natural Pet Products
04/06/2020,Sunseed Vita Prima,Sugar Glider Formula,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Potential to be contaminated with Salmonella,Vitakraft Sun Seed Inc
04/06/2020,TRUDOG,Pet food-freezed dried raw beef topper,"Animal & Veterinary, Food & Beverages, Food & Beverage Safety, Foodborne Illness",Salmonella,"TruPet, LLC"
